impl	instance	items	tp	winsize	total_time	init_time	add_time
Atms	content1	1	100	60	1.774	0.025	0.012
Atms	content1	1	200	60	4.001	0.03	0.015
Atms	content1	1	300	60	5.866	0.428	0.018
Atms	content1	1	400	60	8.275	0.42	0.019
Atms	content1	1	500	60	13.361	0.424	0.024
Atms	content1	1	600	60	16.22	0.424	0.025
Atms	content1	1	700	60	17.421	0.431	0.024
Atms	content1	1	800	60	19.165	0.432	0.024
Atms	content1	1	900	60	22.585	0.432	0.024
Atms	content1	1	1000	60	25.386	0.435	0.025
